stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Admin\OneDrive - Estudiantes ITCR\Escritorio\Estructura\Proyecto de matrix\MatrixProyecto\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.01960] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01961] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01963] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01964] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01966] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01967] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01968] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01970] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01971] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01973] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01974] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01976] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01977] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01979] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01980] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01982] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01983] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01985] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01986] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01988] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01989] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01990] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01992] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.01993] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01995] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01996] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.01997] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.01999] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02000] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02002] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02003] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02005] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02006] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02008] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02009] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.02011] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.02012] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
